Rank,Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
1,Logistic Regression,S1_All_WithDuration,Yes,0.8458476169412805,0.4178082191780822,0.8071833648393195,0.5506125080593166,0.9066130611153002
2,Ridge (L2),S1_All_WithDuration,Yes,0.8458476169412805,0.4178082191780822,0.8071833648393195,0.5506125080593166,0.9066130611153002
3,Lasso (L1),S1_All_WithDuration,Yes,0.8455158686276678,0.41719589643380556,0.8071833648393195,0.5500805152979066,0.9065637010794105
4,Logistic Regression,S1_All_WithDuration,No,0.9014707508570164,0.6467486818980668,0.34782608695652173,0.45236631837738167,0.9058328884617071
5,Ridge (L2),S1_All_WithDuration,No,0.9014707508570164,0.6467486818980668,0.34782608695652173,0.45236631837738167,0.9058328884617071
6,Lasso (L1),S1_All_WithDuration,No,0.9015813336282207,0.6473684210526316,0.3487712665406427,0.4533169533169533,0.9058247209737541
7,Decision Tree,S1_All_WithDuration,No,0.900807254229791,0.6074766355140186,0.43005671077504726,0.5035971223021583,0.8862180151110364
8,Decision Tree,S1_All_WithDuration,Yes,0.8374433263297578,0.40009699321047526,0.779773156899811,0.5288461538461539,0.876402943610006
9,Lasso (L1),S2_Realistic_NoDuration,No,0.8935087913303107,0.6643598615916955,0.18147448015122875,0.28507795100222716,0.772405668473378
10,Logistic Regression,S2_Realistic_NoDuration,No,0.8932876257879022,0.6608996539792388,0.18052930056710775,0.2835931700074239,0.7723703943949726
11,Ridge (L2),S2_Realistic_NoDuration,No,0.8932876257879022,0.6608996539792388,0.18052930056710775,0.2835931700074239,0.7723703943949726
12,Lasso (L1),S2_Realistic_NoDuration,Yes,0.7461019573150504,0.2589563862928349,0.6285444234404537,0.3667953667953668,0.76696233367621
13,Logistic Regression,S2_Realistic_NoDuration,Yes,0.7466548711710715,0.2602100350058343,0.6323251417769377,0.36869661063653897,0.766885156833524
14,Ridge (L2),S2_Realistic_NoDuration,Yes,0.7466548711710715,0.2602100350058343,0.6323251417769377,0.36869661063653897,0.766885156833524
15,Decision Tree,S2_Realistic_NoDuration,No,0.8935087913303107,0.6392961876832844,0.2060491493383743,0.31165117941386705,0.7518401705466181
16,Decision Tree,S2_Realistic_NoDuration,Yes,0.8544730730952118,0.39563106796116504,0.4621928166351607,0.42632955536181344,0.7477685002479838
17,Decision Tree,S3_DemographicsOnly,No,0.8795753621585757,0.36283185840707965,0.038752362948960305,0.07002561912894961,0.6718723551839282
18,Decision Tree,S3_DemographicsOnly,Yes,0.6831803604998341,0.19893368877040987,0.5642722117202268,0.29416112342941614,0.6669829891348735
19,Lasso (L1),S3_DemographicsOnly,No,0.8828928452947031,0.0,0.0,0.0,0.6662053614231789
20,Logistic Regression,S3_DemographicsOnly,No,0.8828928452947031,0.0,0.0,0.0,0.6661274743641493
21,Ridge (L2),S3_DemographicsOnly,No,0.8828928452947031,0.0,0.0,0.0,0.6661274743641493
22,Lasso (L1),S3_DemographicsOnly,Yes,0.6273360610416897,0.1824175824175824,0.6275992438563327,0.2826734780757769,0.6642709688416254
23,Logistic Regression,S3_DemographicsOnly,Yes,0.6268937299568728,0.18221734357848518,0.6275992438563327,0.28243300723096554,0.6642361682407822
24,Ridge (L2),S3_DemographicsOnly,Yes,0.6268937299568728,0.18221734357848518,0.6275992438563327,0.28243300723096554,0.6642361682407822
25,Logistic Regression,S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.29178885630498536,0.6223318059736297
26,Ridge (L2),S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.29178885630498536,0.6223318059736297
27,Lasso (L1),S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.29178885630498536,0.6223172465385831
28,Logistic Regression,S4_PreviousOnly,Yes,0.812341037266394,0.2652461425422483,0.34120982986767484,0.29847044233154196,0.62201623317823
29,Ridge (L2),S4_PreviousOnly,Yes,0.812341037266394,0.2652461425422483,0.34120982986767484,0.29847044233154196,0.62201623317823
30,Lasso (L1),S4_PreviousOnly,Yes,0.8124516200375982,0.26544117647058824,0.34120982986767484,0.2985938792390405,0.6220116167719956
31,Decision Tree,S4_PreviousOnly,No,0.8920712153046555,0.664,0.15689981096408318,0.25382262996941896,0.6063021047261345
32,Decision Tree,S4_PreviousOnly,Yes,0.8601127944266284,0.36470588235294116,0.2637051039697543,0.30608886450905104,0.604498096028352
